city,lat,lon
New Delhi,28.6139,77.2090
Mumbai,19.0760,72.8777
Bangalore,12.9716,77.5946
Chennai,13.0827,80.2707
Hyderabad,17.3850,78.4867
Kolkata,22.5726,88.3639
Pune,18.5204,73.8567
Ahmedabad,23.0225,72.5714
Jaipur,26.9124,75.7873
Lucknow,26.8467,80.9462
Kanpur,26.4499,80.3319
Nagpur,21.1458,79.0882
Indore,22.7196,75.8577
Thane,19.2183,72.9781
Bhopal,23.2599,77.4126
Visakhapatnam,17.6868,83.2185
Vadodara,22.3072,73.1812
Coimbatore,11.0168,76.9558
Surat,21.1702,72.8311
Ludhiana,30.9010,75.8573
Chandigarh,30.7333,76.7794
Agra,27.1767,78.0081
Kanpur,26.4499,80.3319
Nashik,19.9975,73.7898
Faridabad,28.4089,77.3178
Meerut,28.9845,77.7064
Rajkot,22.3039,70.8022
Jabalpur,23.1815,79.9864
Siliguri,26.7271,88.3953
Vijayawada,16.5062,80.6480
Madurai,9.9252,78.1198
Jodhpur,26.2389,73.0243
Raipur,21.2514,81.6296
Bareilly,28.3670,79.4304
Moradabad,28.8386,78.7735
Gwalior,26.2183,78.1828
Jalandhar,31.3260,75.5762
Saharanpur,29.9676,77.5500
Asansol,23.6828,86.9734
Dhanbad,23.7957,86.4304
Ranchi,23.3441,85.3096
Durgapur,23.5204,87.3119
Bhilai,21.1948,81.3504
Guwahati,26.1445,91.7362
Amritsar,31.6340,74.8723
Allahabad,25.4358,81.8463
Agartala,23.8315,91.2868
Jammu,32.7266,74.8570
Gorakhpur,26.7606,83.3732
Dehradun,30.3165,78.0322
Jamshedpur,22.8046,86.2029
Dibrugarh,27.4728,94.9116
Silchar,24.8332,92.7786
Shillong,25.5788,91.8933
Itanagar,27.0844,93.6053
Gangtok,27.3389,88.6065
Aizawl,23.7271,92.7176
Imphal,24.8170,93.9368
Kohima,25.6740,94.1103
Puducherry,11.9416,79.8083
Tiruchirappalli,10.7905,78.7047 
Salem,11.6643,78.1460
Tiruppur,11.1085,77.3411
arunachal pradesh,28.2180,94.7278
Shimla,31.1048,77.1734
Deoghar,24.4869,86.7036
Ramagundam,18.7500,79.4500
Bhilwara,25.3500,74.6350
Muzaffarpur,26.1209,85.3647

